,gen,int,hyb,par,line,se,est,id,log.astax
19,Parental,0,0,2.182,1a,0.04305,2.182,P,NA
18,Hybrid,0,2.011,0,1b,0.06387,2.011,H,NA
1,Hybrid,-0.1955615,0.709989805,1.107194384,A1,0.08112,1.763163257,ABxSD-A1-1,1.499902998
2,Hybrid,-0.1955615,0.709989805,1.107194384,A1,0.08112,1.763163257,ABxSD-A1-2,2.206271897
3,Hybrid,-0.1955615,0.709989805,1.107194384,A1,0.08112,1.763163257,ABxSD-A1-3,1.584433
4,Hybrid,-0.1955615,0.709989805,1.107194384,A1,0.08112,1.763163257,ABxSD-A1-4,1.543673052
5,Hybrid,-0.1955615,0.709989805,1.107194384,A1,0.08112,1.763163257,ABxSD-A1-5,1.963757786
6,Hybrid,-0.1955615,0.709989805,1.107194384,A1,0.08112,1.763163257,ABxSD-A1-6,1.883957352
7,Hybrid,-0.1955615,0.709989805,1.107194384,A1,0.08112,1.763163257,ABxSD-A1-7,1.924770175
8,Hybrid,-0.1955615,0.709989805,1.107194384,A1,0.08112,1.763163257,ABxSD-A1-8,1.708329831
9,Hybrid,-0.1955615,0.709989805,1.107194384,A1,0.08112,1.763163257,ABxSD-A1-9,1.55337322
10,Hybrid,-0.01367671,0.709989805,0.904879953,A5,0.00501,1.980879699,ABxSD-A5-1,1.985893303
11,Hybrid,-0.01367671,0.709989805,0.904879953,A5,0.00501,1.980879699,ABxSD-A5-2,1.975866095
12,Hybrid,-0.05841195,0.709989805,0.965714498,B2,0.03243,1.882321018,ABxSD-B2-1,1.914747485
13,Hybrid,-0.05841195,0.709989805,0.965714498,B2,0.03243,1.882321018,ABxSD-B2-2,1.849894551
14,Hybrid,0.09694643,0.709989805,0.769482608,B3,0.04308,2.166278868,ABxSD-B3-1,2.140985143
15,Hybrid,0.09694643,0.709989805,0.769482608,B3,0.04308,2.166278868,ABxSD-B3-2,2.289034147
16,Hybrid,0.09694643,0.709989805,0.769482608,B3,0.04308,2.166278868,ABxSD-B3-3,2.087441676
17,Hybrid,0.09694643,0.709989805,0.769482608,B3,0.04308,2.166278868,ABxSD-B3-4,2.147654504
,Hybrid,0.08296705,0.709989805,0.781561115,D2,0.15786,2.160526848,ABxSD-D2-1,1.988657678
,Hybrid,0.08296705,0.709989805,0.781561115,D2,0.15786,2.160526848,ABxSD-D2-2,2.017107571
,Hybrid,0.08296705,0.709989805,0.781561115,D2,0.15786,2.160526848,ABxSD-D2-3,2.475815296
,Hybrid,-0.0667371,0.709989805,0.969590136,D3,0.07755,1.904126962,ABxSD-D3-1,1.95711861
,Hybrid,-0.0667371,0.709989805,0.969590136,D3,0.07755,1.904126962,ABxSD-D3-2,1.98737798
,Hybrid,-0.0667371,0.709989805,0.969590136,D3,0.07755,1.904126962,ABxSD-D3-3,1.672980815
,Hybrid,-0.0667371,0.709989805,0.969590136,D3,0.07755,1.904126962,ABxSD-D3-4,1.999030442
,Hybrid,0.05730346,0.709989805,0.797137155,D6,NA,2.206205012,ABxSD-D6-1,2.206205012
,Hybrid,0.09717033,0.709989805,0.736518593,E2,NA,2.342003977,ABxSD-E2-1,2.342003977
,Parental,-0.06149952,0.709989805,0.8790098,P-1,0.04305,0.81751028,AB-Po-A,2.118540276
,Parental,0.00130999,0.709989805,0.879009805,P-2,0.04305,0.880319795,AB-Po-B,2.181349791
,Parental,-0.09773073,0.709989805,0.879009803,P-3,0.04305,0.781279073,AB-Po-C,2.082309067
,Parental,0.10890213,0.709989805,0.879009807,P-4,0.04305,0.987911937,AB-Po-D,2.288941934
,Parental,0.14210163,0.709989805,0.879009808,P-5,0.04305,1.021111438,AB-Po-E,2.322141431
,Parental,-0.22447785,0.709989805,0.879009801,P-6,0.04305,0.654531951,AB-Po-F,1.955561946
,Parental,0.10279606,0.709989805,0.879009807,P-7,0.04305,0.981805867,AB-Po-G,2.282835866
,Parental,0.08571419,0.709989805,0.879009807,P-8,0.04305,0.964723997,AB-Po-H,2.26575399
,Parental,-0.05711589,0.709989805,0.879009804,P-9,0.04305,0.821893914,AB-Po-I,2.122923907
