id,gen,astax,line,analysisID,log.astax,inv.mass,tot.astax,n,tot.mass,astax.cop,astax.mass,log.astax2
AB-Po-A,Parental,6.569166667,P-1,Parental,0.817510281,0.02382381,0.31532,42,1.0006,0.007507619,0.315130921,-0.501508981
AB-Po-B,Parental,7.591363636,P-2,Parental,0.880319795,0.026060526,0.33402,38,0.9903,0.00879,0.33729173,-0.471994307
AB-Po-C,Parental,6.043368421,P-3,Parental,0.781279071,0.026010526,0.229648,38,0.9884,0.006043368,0.232343181,-0.633870069
AB-Po-D,Parental,9.7255,P-4,Parental,0.987911938,0.02908125,0.350118,32,0.9306,0.010941188,0.37622824,-0.424548609
AB-Po-E,Parental,10.49811765,P-5,Parental,1.021111435,0.029397059,0.356936,34,0.9995,0.010498118,0.357114557,-0.447192446
AB-Po-F,Parental,4.513692308,P-6,Parental,0.654531951,0.039732,0.117356,25,0.9933,0.00469424,0.118147589,-0.927575137
AB-Po-G,Parental,9.58971875,P-7,Parental,0.98180587,0.033339286,0.306871,28,0.9335,0.010959679,0.328731655,-0.483158474
AB-Po-H,Parental,9.219852941,P-8,Parental,0.964723994,0.039276,0.313475,25,0.9819,0.012539,0.319253488,-0.495864349
AB-Po-I,Parental,6.635809524,P-9,Parental,0.821893911,0.024864103,0.278704,39,0.9697,0.007146256,0.287412602,-0.541494194
ABxSD-A1-1,Hybrid,1.580785714,A1,A,0.198873002,0.075638462,0.044262,13,0.9833,0.003404769,0.045013729,-1.346655005
ABxSD-A1-2,Hybrid,8.039738095,A1,A,0.905241901,0.029930303,0.337669,33,0.9877,0.010232394,0.341874051,-0.466133862
ABxSD-A1-3,Hybrid,1.92045,A1,A,0.283403005,0.081666667,0.038409,12,0.98,0.00320075,0.039192857,-1.406793075
ABxSD-A1-4,Hybrid,1.748409091,A1,A,0.242643056,0.083233333,0.038465,12,0.9988,0.003205417,0.038511213,-1.414412797
ABxSD-A1-5,Hybrid,4.599681818,A1,A,0.66272779,0.0888,0.101193,11,0.9768,0.009199364,0.103596437,-0.98465518
ABxSD-A1-6,Hybrid,3.827607143,A1,A,0.582927356,0.0555,0.107173,18,0.999,0.005954056,0.10728028,-0.969480101
ABxSD-A1-7,Hybrid,4.20475,A1,A,0.623740179,0.036911538,0.151371,26,0.9597,0.005821962,0.157727415,-0.802092815
ABxSD-A1-8,Hybrid,2.554464286,A1,A,0.407299835,0.0856,0.071525,11,0.9416,0.006502273,0.07596113,-1.119408583
ABxSD-A1-9,Hybrid,1.7879,A1,A,0.252343224,0.140114286,0.035758,7,0.9808,0.005108286,0.036457993,-1.438207237
ABxSD-A5-1,Hybrid,4.8402,A5,B,0.684863307,0.043404348,0.096804,23,0.9983,0.00420887,0.096968847,-1.013367768
ABxSD-A5-2,Hybrid,4.729727273,A5,B,0.674836099,0.044963636,0.104054,22,0.9892,0.004729727,0.105190053,-0.978025328
ABxSD-B2-1,Hybrid,4.108823529,B2,C,0.613717489,0.07025,0.1397,14,0.9835,0.009978571,0.142043721,-0.847577958
ABxSD-B2-2,Hybrid,3.538869565,B2,C,0.548864556,0.075507692,0.162788,13,0.9816,0.012522154,0.165839446,-0.780312162
ABxSD-B3-1,Hybrid,6.917595238,B3,D,0.839955147,0.022995349,0.290539,43,0.9888,0.006756721,0.293829895,-0.53190402
ABxSD-B3-2,Hybrid,9.727565217,B3,D,0.988004151,0.029375,0.447468,32,0.94,0.013983375,0.476029787,-0.322365871
ABxSD-B3-3,Hybrid,6.115214286,B3,D,0.78641168,0.09891,0.171226,10,0.9891,0.0171226,0.173112931,-0.761670491
ABxSD-B3-4,Hybrid,7.024647059,B3,D,0.846624509,0.047357143,0.238838,21,0.9945,0.011373238,0.240158874,-0.619501362
ABxSD-D2-1,Hybrid,4.871107143,D2,E,0.687627682,0.076423077,0.136391,13,0.9935,0.010491615,0.137283342,-0.862382158
ABxSD-D2-2,Hybrid,5.200888889,D2,E,0.716077576,0.038748,0.187232,25,0.9687,0.00748928,0.193281718,-0.713809223
ABxSD-D2-3,Hybrid,14.95496154,D2,E,1.1747853,0.037303846,0.388829,26,0.9699,0.014954962,0.400895969,-0.396968311
ABxSD-D3-1,Hybrid,4.5299,D3,F,0.656088615,0.057058824,0.135897,17,0.97,0.007993941,0.1401,-0.853561865
ABxSD-D3-2,Hybrid,4.856775,D3,F,0.686347984,0.029933333,0.194271,33,0.9878,0.005887,0.196670379,-0.706261046
ABxSD-D3-3,Hybrid,2.354782609,D3,F,0.37195082,0.062726667,0.10832,15,0.9409,0.007221333,0.115123818,-0.938834817
ABxSD-D3-4,Hybrid,4.98885,D3,F,0.698000446,0.08215,0.099777,12,0.9858,0.00831475,0.101214242,-0.994758372
ABxSD-D6-1,Hybrid,8.0385,D6,G,0.905175016,0.033016667,0.369771,30,0.9905,0.0123257,0.373317516,-0.427921632
ABxSD-E2-1,Hybrid,10.9894,E2,H,1.040973981,0.045395455,0.219788,22,0.9987,0.009990364,0.220074096,-0.657431073
