line,gen,replicate,dph,dph.sd,astax
SCN,Parental,SCN_1,5.67,0.58,0.187154574
SCN,Parental,SCN_2,6.05,0.21,0.224331442
SCN,Parental,SCN_3,6.19,0.4,0.243652952
SCN,Parental,SCN_4,7.08,0.29,0.175157714
SCN,Parental,SCN_5,6.97,0.17,0.206427228
SD,Parental,SD_1,7,0,0.25933037
SD,Parental,SD_2,5.75,0.45,0.16026341
SD,Parental,SD_3,5.81,0.4,0.138265324
SD,Parental,SD_4,6.06,0.23,0.237590066
SDxSCN F1,F1,SDxSCNF1_1,6,0,0.12626937
SDxSCN F1,F1,SDxSCNF1_2,5,0,0.125985368
SDxSCN F1,F1,SDxSCNF1_3,6,0,0.057397912
SDxSCN F1,F1,SDxSCNF1_4,6.19,0.4,0.09879554
SCNxSD F1,F1,SCNxSDF1_1,5.98,0.27,0.1669564
SCNxSD F1,F1,SCNxSDF1_2,5.77,0.44,0.096292222
SCNxSD F1,F1,SCNxSDF1_3,6.04,0.19,0.179781956
SDxSCN F1,F1,SDxSCNF1_5,5.93,0.25,0.276322656
SDxSCN F1,F1,SDxSCNF1_6,8.36,0.78,0.325394487
SDxSCN F1,F1,SDxSCNF1_7,6.38,0.5,0.175507885
SDxSCN F1,F1,SDxSCNF1_8,7.54,1.83,0.18630766
SCNxSD F1,F1,SCNxSDF1_4,6.26,0.53,0.116528603
SCNxSD F1,F1,SCNxSDF1_5,7.18,0.45,0.196075478
SCNxSD F1,F1,SCNxSDF1_6,8.05,1.16,0.155525114
SCNxSD F1,F1,SCNxSDF1_7,8.9,1.48,0.252110534
SCNxSD F1,F1,SCNxSDF1_8,6.42,0.6,0.251965456
SCNxSD F2,F2,SCNxSDF2_1,7.5,0.5,0.087386265
SCNxSD F2,F2,SCNxSDF2_2,9.5,0.5,0.035104642
SCNxSD F2,F2,SCNxSDF2_3,5,0,0.090143408
SCNxSD F2,F2,SCNxSDF2_4,6,0,0.107556808
SCNxSD F2,F2,SCNxSDF2_5,7,0,0.132569609
SCNxSD F2,F2,SCNxSDF2_6,10,0,0.136621683
SDxSCN F2,F2,SDxSCNF2_1,9,0,0.086698107
SDxSCN F2,F2,SDxSCNF2_2,13.5,0.5,0.107150436
SDxSCN F2,F2,SDxSCNF2_3,6.5,0.5,0.11174223
SDxSCN F2,F2,SDxSCNF2_4,8.5,0.5,0.10120492
SDxSCN F3,F3,SDxSCNF3_1,6,0,0.067945573
SDxSCN F3,F3,SDxSCNF3_2,6,0,0.069820622
SDxSCN F3,F3,SDxSCNF3_3,7,0,0.080311958
SDxSCN F3,F3,SDxSCNF3_4,7,0,0.096412895
SDxSCN F3,F3,SDxSCNF3_5,8,0,0.091284376
SCNxSD F3,F3,SCNxSDF3_1,8,0,0.076013776
SCNxSD F3,F3,SCNxSDF3_2,9,0,0.056535007
SCNxSD F3,F3,SCNxSDF3_3,9,0,0.080503761
SCNxSD F3,F3,SCNxSDF3_4,10,0,0.06926619
SCNxSD F3,F3,SCNxSDF3_5,6.5,0.5,0.056023764
SCNxSD F3,F3,SCNxSDF3_6,12,1,0.069255426
SDxSCN F3,F3,SDxSCNF3_6,12,1,0.05414111
