line,clutch,dph,cross
PESAB20,PESAB20_1,7,PESAB
PESAB20,PESAB20_2,7.38,PESAB
PESAB20,PESAB20_3,6.25,PESAB
PESAB20,PESAB20_4,6.67,PESAB
PESAB20,PESAB20_5,6.81,PESAB
PESAB20,PESAB20_6,7.15,PESAB
BUFSD24,BUFSD24_1,7.714285714,BUFSD
BUFSD24,BUFSD24_2,7,BUFSD
BUFSD24,BUFSD24_3,7.133333333,BUFSD
BUFSD24,BUFSD24_4,6,BUFSD
BUFSD24,BUFSD24_5,7.416666667,BUFSD
BUFSD24,BUFSD24_6,7.266666667,BUFSD
BUFSD4,BUFSD4_1,8.769230769,BUFSD
BUFSD4,BUFSD4_2,7.833333333,BUFSD
BUFSD4,BUFSD4_3,7.333333333,BUFSD
BUFSD4,BUFSD4_4,6.823529412,BUFSD
BUFSD4,BUFSD4_5,8.615384615,BUFSD
BUFSD4,BUFSD4_6,11,BUFSD
BRSD50,BRSD50_1,7.826086957,BRSD
BRSD50,BRSD50_2,7.045454545,BRSD
BRSD50,BRSD50_3,7,BRSD
BRSD50,BRSD50_4,7.333333333,BRSD
BRSD50,BRSD50_5,7.608695652,BRSD
BRSD50,BRSD50_6,6.75,BRSD
CATAB27,CATAB27_1,8.545454545,BRSD
CATAB27,CATAB27_2,8.923076923,BRSD
BRSD56,BRSD56_1,6.625,BRSD
BRSD56,BRSD56_2,7.333333333,BRSD
BRSD56,BRSD56_3,6.5,BRSD
BRSD56,BRSD56_4,6.8,BRSD
BRSD56,BRSD56_5,7.538461538,BRSD
BRSD56,BRSD56_6,6.375,BRSD
ABCAT11,ABCAT11_1,10.83,ABCAT
SD,SD_1,6.769230769,SD
SD,SD_2,7.2,SD
SD,SD_3,11.53846154,SD
SD,SD_4,6,SD
SD,SD_5,6.3125,SD
SD,SD_6,6.818181818,SD
SD,SD_7,6,SD
SD,SD_8,7.785714286,SD
SD,SD_9,6.666666667,SD
SD,SD_10,6,SD
SD,SD_11,6,SD
SD,SD_12,6.25,SD
SD,SD_13,9.555555556,SD
SD,SD_14,7.428571429,SD
SD,SD_15,6.666666667,SD
PES,PES_1,6.727272727,PES
PES,PES_2,6.714285714,PES
PES,PES_3,6.866666667,PES
PES,PES_4,6.111111111,PES
PES,PES_5,6.722222222,PES
PES,PES_6,8.533333333,PES
BUF,BUF_1,8.125,BUF
BUF,BUF_2,6.8,BUF
BUF,BUF_3,10,BUF
BUF,BUF_4,7,BUF
BUF,BUF_5,7.333333333,BUF
BR,BR_1,6.058823529,BR
BR,BR_2,7.333333333,BR
BR,BR_3,7.1,BR
BR,BR_4,7.125,BR
BR,BR_5,7.75,BR
BR,BR_6,7.5,BR
